Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
Vocational Rehabilitation Counselor (SUD) - #ARS00685,Full-Time (Salaried),Fredericksburg,NA,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-sud-ars00685-fredericksburg-virginia-united-states,2023-03-10
Food Operations Supervisor: Augusta Correctional Center #00025,Full-Time (Salaried),Augusta County,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-augusta-correctional-center-00025-augusta-county-virginia-united-states,2023-03-10
Electronic Technician Senior: Augusta Correctional Center #00742,Full-Time (Salaried),Augusta County,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/electronic-technician-senior-augusta-correctional-center-00742-augusta-county-virginia-united-states,2023-03-10
Director of Examinations,Full-Time (Salaried),Henrico,2023-03-19T23:55:00Z,Dept of Prof & Occup Reg,https://www.jobs.virginia.gov/jobs/director-of-examinations-henrico-virginia-united-states,2023-03-10
Tax Appeals Analyst,Full-Time (Salaried),Richmond,2023-03-22T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/tax-appeals-analyst-richmond-virginia-united-states-3e98d90d-42c1-48bf-834d-3a6eb114dfcb,2023-03-10
Program Manager (Broadband),Full-Time (Salaried),Richmond,2023-03-30T23:55:00Z,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/program-manager-broadband-richmond-virginia-united-states,2023-03-10
Automated Procurement (eVA) Customer Care Analyst and Assistant Supervisor - P0175,Full-Time (Salaried),Richmond,NA,Department of General Services,https://www.jobs.virginia.gov/jobs/automated-procurement-eva-customer-care-analyst-and-assistant-supervisor-p0175-richmond-virginia-united-states,2023-03-10
Human Services Program Manager,Full-Time (Salaried),Richmond,2023-03-22T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/human-services-program-manager-richmond-virginia-united-states,2023-03-10
IT Portfolio Manager - Service Delivery,Full-Time (Salaried),Richmond,2023-03-15T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/it-portfolio-manager-service-delivery-richmond-virginia-united-states,2023-03-10
IT Governance Program Manager,Full-Time (Salaried),Richmond,2023-03-15T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/it-governance-program-manager-richmond-virginia-united-states,2023-03-10
IT Program Mgr Transformation Architect,Full-Time (Salaried),Richmond,2023-03-15T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/it-program-mgr-transformation-architect-richmond-virginia-united-states,2023-03-10
Public Information Officer,Full-Time (Salaried),"Henrico
  Richmond",2023-03-22T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-information-officer-henrico-virginia-united-states-richmond,2023-03-10
