Title,EmploymentType,Location,Closingdate,Agency,Link,ClosingDate2
"Benefits Claims Specialist - Roanoke, VA",Full-Time (Salaried),Roanoke,Mar 7 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states-c00f5d3e-3080-47d3-9c5a-d33c252eb097,2023-03-07T23:55:00Z
"Benefits Claims Specialist - Roanoke, VA",Full-Time (Salaried),Roanoke,Mar 7 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states,2023-03-07T23:55:00Z
Accounts Payable Technician - AF056,Full-Time (Salaried),Richmond,,Department of General Services,https://www.jobs.virginia.gov/jobs/accounts-payable-technician-af056-richmond-virginia-united-states,NA
"IT Service Delivery Manager, Position No. 03299",Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/it-service-delivery-manager-position-no-03299-richmond-virginia-united-states,2023-02-28T23:55:00Z
Veteran Employment Specialist (VES),Full-Time (Salaried),"Chesapeake
  Hampton
  Norfolk
  Virginia Beach

            Chesapeake
  Hampton
  Norfolk",Mar 5 2023 at 23:55 EST,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/veteran-employment-specialist-ves-chesapeake-virginia-united-states-hampton-norfolk-virginia-beach,2023-03-05T23:55:00Z
CO - P0077 - Talent Management Specialist,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p0077-talent-management-specialist-richmond-virginia-united-states,2023-02-27T23:55:00Z
Auditor,Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/auditor-richmond-virginia-united-states-e3aa5a27-1eda-410c-9085-2d3de55262c9,2023-03-08T23:55:00Z
Counseling Center Retirement Counseling Representative (Hybrid),Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/counseling-center-retirement-counseling-representative-hybrid-richmond-virginia-united-states,2023-03-03T23:55:00Z
Software/Systems Administrator,Full-Time (Salaried),"Williamsburg
  York",Mar 2 2023 at 23:55 EST,Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/software-systems-administrator-williamsburg-virginia-united-states-york,2023-03-02T23:55:00Z
Online Assistance Representative (Remote),Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/online-assistance-representative-remote-richmond-virginia-united-states,2023-03-03T23:55:00Z
Senior Roadway Design Engineer,Full-Time (Salaried),Richmond,Mar 21 2023 at 23:55 EDT,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-roadway-design-engineer-richmond-virginia-united-states,2023-03-21T23:55:00Z
Data Specialist,Full-Time (Salaried),Hampton,Mar 19 2023 at 12:00 EDT,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/data-specialist-hampton-virginia-united-states,2023-03-19T12:00:00Z
Seafood Dealer Specialist,Full-Time (Salaried),Hampton,Mar 19 2023 at 12:00 EDT,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/seafood-dealer-specialist-hampton-virginia-united-states,2023-03-19T12:00:00Z
School Safety Manager,Full-Time (Salaried),Chesterfield,,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/school-safety-manager-chesterfield-virginia-united-states,NA
Fiscal Technician,Full-Time (Salaried),"Rockbridge County
  Shenandoah
  Staunton
  Waynesboro

            Rockbridge County
  Shenandoah
  Staunton",Apr 21 2023 at 23:55 EDT,Frontier Culture Museum of VA,https://www.jobs.virginia.gov/jobs/fiscal-technician-rockbridge-county-virginia-united-states-shenandoah-staunton-waynesboro,2023-04-21T23:55:00Z
Director of Administrative Compliance,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/director-of-administrative-compliance-richmond-virginia-united-states,2023-02-24T23:55:00Z
Payment Processing Supervisor,Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/payment-processing-supervisor-richmond-virginia-united-states,2023-02-28T23:55:00Z
